Start;26.08.2005;;;
End;26.08.2015;;;
Frequency;D;;;
Name;DAX 30 PERFORMANCE - PRICE INDEX;DOW JONES INDUSTRIALS - PRICE INDEX;VOLKSWAGEN PREF.;THYSSENKRUPP
Code;DAXINDX;DJINDUS;D:VOW3;D:TKA
CURRENCY;E;U$;E;E
date;DAX;DowJones;Volkswagen;ThyssenKrupp
26.08.2005;4783.80;10397.29;32.01;15.40
29.08.2005;4812.24;10463.05;32.01;15.61
30.08.2005;4791.72;10412.82;31.51;15.58
31.08.2005;4829.69;10481.60;31.87;15.52
01.09.2005;4842.94;10459.63;31.81;15.75
02.09.2005;4837.81;10447.37;31.70;15.75
05.09.2005;4909.89;10447.37;32.45;15.82
06.09.2005;4968.28;10589.24;33.05;15.90
07.09.2005;4988.14;10633.50;33.82;15.95
08.09.2005;4992.75;10595.93;33.70;16.04
09.09.2005;5005.93;10678.56;34.19;16.30
12.09.2005;4989.98;10682.94;34.34;16.24
13.09.2005;4901.88;10597.44;33.74;16.02
14.09.2005;4911.17;10544.90;34.34;16.05
15.09.2005;4905.98;10558.75;34.38;16.14
16.09.2005;4986.50;10641.94;35.63;16.42
19.09.2005;4926.13;10557.63;35.24;16.35
20.09.2005;4962.86;10481.52;35.94;16.65
21.09.2005;4875.22;10378.03;36.28;16.41
22.09.2005;4849.01;10422.05;37.40;16.44
23.09.2005;4882.58;10419.59;38.02;16.57
26.09.2005;4998.16;10443.63;36.98;16.73
27.09.2005;4965.88;10456.21;37.28;16.72
28.09.2005;5048.74;10473.09;37.87;16.98
29.09.2005;5021.17;10552.78;36.90;17.41
30.09.2005;5044.12;10568.70;37.73;17.40
03.10.2005;5082.07;10535.48;37.82;17.39
04.10.2005;5138.02;10441.11;39.37;17.57
05.10.2005;5069.42;10317.36;38.06;17.48
06.10.2005;5017.27;10287.10;36.88;17.36
07.10.2005;5007.77;10292.31;36.79;17.54
10.10.2005;5022.79;10238.76;36.21;17.67
11.10.2005;5032.46;10253.17;36.15;17.57
12.10.2005;4981.77;10216.91;35.68;17.38
13.10.2005;4950.07;10216.59;35.04;17.03
14.10.2005;4975.56;10287.34;35.24;17.49
17.10.2005;4978.83;10348.10;34.84;17.62
18.10.2005;4947.18;10285.26;34.90;17.49
19.10.2005;4845.98;10414.13;34.42;17.24
20.10.2005;4864.25;10281.10;34.17;16.98
21.10.2005;4838.40;10215.22;33.93;16.83
24.10.2005;4901.79;10385.00;34.13;17.10
25.10.2005;4872.97;10377.87;33.93;16.90
26.10.2005;4900.79;10344.98;34.54;17.00
27.10.2005;4806.05;10229.95;33.30;16.80
28.10.2005;4825.64;10402.77;33.13;16.68
31.10.2005;4929.07;10440.07;33.65;16.97
01.11.2005;4922.55;10406.77;33.40;17.23
02.11.2005;4954.83;10472.73;33.55;17.04
03.11.2005;5011.00;10522.59;33.79;17.34
04.11.2005;4995.24;10530.76;33.35;17.10
07.11.2005;5024.20;10586.23;34.02;17.10
08.11.2005;5008.83;10539.72;34.38;17.20
09.11.2005;5011.38;10546.21;33.99;17.24
10.11.2005;5015.55;10640.10;33.10;17.17
11.11.2005;5090.75;10686.04;33.51;17.21
14.11.2005;5092.43;10697.17;33.25;17.38
15.11.2005;5110.61;10686.44;32.85;17.40
16.11.2005;5081.46;10674.76;32.42;17.41
17.11.2005;5099.72;10720.22;32.21;17.45
