"g.ML0.05" "g.ML0.01" "g.ML0.005" "g.ML0.001" "g.tau0.05" "g.tau0.01" "g.tau0.005" "g.tau0.001" "g.new0.05" "g.new0.01" "g.new0.005" "g.new0.001" "c.ML0.05" "c.ML0.01" "c.ML0.005" "c.ML0.001" "c.tau0.05" "c.tau0.01" "c.tau0.005" "c.tau0.001" "c.new0.05" "c.new0.01" "c.new0.005" "c.new0.001" "f.ML0.05" "f.ML0.01" "f.ML0.005" "f.ML0.001" "f.tau0.05" "f.tau0.01" "f.tau0.005" "f.tau0.001" "f.new0.05" "f.new0.01" "f.new0.005" "f.new0.001" "theta.F.ML" "theta.G.ML" "theta.C.ML" "theta.F.tau" "theta.G.tau" "theta.C.tau" "theta.F.new" "theta.G.new" "theta.C.new" "loglik.Fr" "loglik.Gu" "loglik.Cl" "time.Frank" "time.Gumbel" "time.Clayton" "L.real.left" "data.time.part" "p.F" "p.G" "p.C"
-203.49863372376 -302.562947154674 -344.039918549642 -379.506573925992 -204.985968473537 -308.565383348682 -362.857315560639 -461.736431122738 -199.976363861184 -327.194141983318 -354.93803707591 -397.899406793385 -214.537707377781 -337.490814473621 -368.265886944486 -488.711022187541 -235.684451968432 -395.87678694419 -469.582712830143 -503.314281461403 -224.01675399181 -371.468608412676 -400.487655554504 -495.400740441892 -210.178782028171 -359.287164035301 -405.672572961633 -438.685662889747 -222.758733230235 -346.001150897783 -381.586244197499 -485.088183315667 -210.403155020296 -320.884439531291 -340.817243229068 -406.693679841086 3.12679704931775 1.44656093917982 0.801576476781291 2.96203531521243 1.43662758235623 0.873255164712451 2.96968908208146 1.43693024707463 0.869352578806109 28.5080428411985 28.761638844658 31.1500094861342 77.6399999999994 163.830000000002 93.1299999999974 73.4699999999993 2006 0.0464535464535451 0.0304695304695298 0.0544455544455552
-195.320344056318 -293.731260576214 -339.047305938199 -378.573037293243 -202.325749571821 -281.706532389151 -341.335991555854 -373.219956923806 -195.305311096606 -297.032735467652 -353.596940636467 -478.304457036338 -219.247437667697 -349.802510669487 -405.259324463085 -483.827709748211 -212.587206777633 -378.487480135444 -422.890820983733 -469.835901364841 -225.423678690729 -369.904295595453 -420.080811978235 -603.941072579489 -207.322383627756 -297.398096646456 -338.41584017414 -414.713160362785 -212.825932337597 -284.0308559322 -333.660991707041 -420.468585712711 -204.1521680429 -294.894978558886 -306.65297216795 -353.328358259462 3.12090476954189 1.44595602156703 0.801612830224489 2.97164038988413 1.43836765116929 0.876735302338582 2.979170710736 1.43867467314842 0.872269980569562 28.4875509090086 28.7512337690064 31.1363282976747 83.8100000000049 189.049999999996 125.329999999994 217.189999999999 2006 0.0504495504495508 0.0404595404595555 0.0594405594405604
-184.176592826844 -280.637227722564 -320.955956826314 -371.476974592057 -192.117924598093 -320.013263097064 -382.457496392248 -429.194505116011 -188.29350187926 -319.053426545093 -335.990027456949 -405.698687264895 -189.199748696968 -308.597939354022 -358.351187258368 -653.398589539489 -188.13479431604 -294.078755821891 -341.254340210127 -460.719858462208 -189.640451451777 -339.791106580847 -393.317421069669 -528.873333146596 -201.653717373059 -310.240773621288 -314.998003352816 -361.193064177167 -205.342067643705 -276.16539299002 -305.102619591022 -368.846510599785 -186.372368998497 -303.55717888365 -353.057942507288 -400.044763549572 3.09527131534639 1.44206387444629 0.797166267233014 2.9568688284511 1.43569236492142 0.871384729842835 2.96509554970012 1.43581012009246 0.867862874723987 28.1742365382766 28.4360522556458 31.0336005547185 97.0699999999997 198.830000000002 98.3300000000017 132.999999999999 2006 0.0594405594405609 0.0184815184815271 0.0474525474525469
-190.663267832046 -279.148271969786 -334.782587457181 -379.646609144013 -183.496655196586 -263.017470794647 -329.641936754343 -417.427279691009 -197.875537809905 -279.651761076283 -286.989807165608 -323.524571793344 -189.449030244911 -357.055420018604 -400.666285953868 -449.44520240574 -200.294213682667 -300.809792808205 -334.438358100903 -371.931919822684 -216.549528937554 -347.029600042811 -437.819618661638 -530.088784344748 -215.982357300901 -327.236640527263 -361.105398304091 -386.855728000301 -200.806047553139 -281.388816496359 -309.458598107096 -404.553287886844 -202.479384764515 -269.884147647302 -299.924903936924 -319.460240734682 3.10775060439142 1.44376162202333 0.800020394347263 2.99311508366821 1.44226457399103 0.884529147982063 2.99798222615646 1.44230719723671 0.881025538315885 28.6755855928454 29.2055559420121 31.2616968662615 65.1699999999983 186.379999999997 166.940000000002 28.4099999999981 2006 0.0424575424575447 0.0284715284715114 0.0414585414585418
-191.920017770559 -296.277041496751 -328.962485862358 -465.540179316359 -169.385951247015 -267.756363304044 -287.783223485638 -374.129124214892 -187.919708019985 -331.910170323444 -357.959891522965 -431.909662498429 -205.75228151532 -300.06948062427 -370.920310093533 -410.248991783806 -204.931228236707 -324.50366285344 -372.476647339793 -535.00047009398 -215.302215802569 -339.614662757293 -404.725131131884 -451.544822855564 -181.909588338241 -265.725491374984 -313.28277592517 -343.159735995602 -179.212781295881 -261.686339424184 -293.890850942641 -328.95775612815 -181.002616401849 -270.838096109837 -285.376492418618 -417.571097323963 3.11004219487928 1.44241838794883 0.80189557422955 3.01986639644214 1.44713160854893 0.894263217097863 3.02549675348741 1.44697387339398 0.889695586406572 29.0005007713564 29.2867557204815 31.5199241670723 75.2200000000012 144.25 161.090000000004 30.0200000000016 2006 0.0624375624375589 0.0334665334665521 0.0494505494505504
-173.217309616656 -265.898550241541 -282.089823574634 -398.38130831422 -164.433607365646 -256.290343994855 -299.948214528048 -383.472199051755 -165.814622693563 -251.545564222042 -279.58602337356 -329.056288919085 -191.880169218847 -299.403070234758 -331.334509162346 -399.229212991107 -177.783188815508 -296.082045244304 -341.366822423529 -363.590362525283 -208.651645316233 -327.93920164944 -412.699808862992 -506.648761314683 -174.137448092115 -275.854203146891 -312.28091638047 -398.123071846944 -174.509078813622 -245.761804267816 -274.530673811749 -306.106711812852 -183.006682577126 -282.371733498553 -325.257063184922 -337.920917176655 3.10874497731141 1.44268564799556 0.800793758386254 3.02284518186927 1.44767441860465 0.895348837209302 3.02760785784034 1.44753736446704 0.891334260935597 28.991071687197 29.2896632327344 31.533068270686 87.2200000000012 141.230000000003 67.1500000000015 -58.610000000001 2006 0.0554445554445573 0.0274725274725079 0.0424575424575421
-157.412319244722 -235.278948277253 -297.362217816187 -342.073432754956 -172.167660494344 -267.950343658192 -302.403741852144 -343.731751484688 -173.950541891238 -249.433071027096 -274.654876924747 -301.785519293629 -179.927363116483 -333.55036863871 -345.672047201889 -398.929632118833 -204.961174814171 -356.605733332229 -423.427740304904 -493.499540657393 -186.909946720204 -304.7128939072 -365.219190737977 -414.465920038956 -192.628926090492 -274.526663779088 -297.667873294498 -366.770468707529 -177.439472435589 -240.605275366779 -275.093711707171 -309.854647691528 -166.23093797557 -250.475341487155 -299.195171199126 -337.578022882133 3.11170023306801 1.44568014371298 0.799648798263538 3.02061097193352 1.44726727289772 0.894534545795444 3.02547937899715 1.44720781501118 0.89116946683702 28.9509854045041 29.5130316444759 31.4153792105471 66.3799999999974 118.470000000001 67.4000000000015 18.3700000000014 2006 0.0534465534465511 0.0374625374625353 0.0354645354645351
-165.927839927125 -238.843637562511 -280.425842113339 -306.977935842852 -159.100189719805 -255.960309875132 -283.979113677878 -386.202950261533 -155.444162715563 -226.991802204716 -256.876483685425 -357.594942030454 -201.793084741024 -296.148028922955 -383.850641487966 -471.370143536639 -158.736166301424 -279.865934229431 -343.077068495431 -418.280023126864 -174.048707430178 -271.708749580327 -299.006231508652 -388.364617421495 -159.557208820154 -244.734145261915 -266.928488892247 -298.675132286822 -158.543726113524 -252.154968705817 -277.666042893218 -288.390864326951 -169.962142004506 -255.4601589373 -262.362728300246 -276.648319929571 3.10249554438924 1.44323594361159 0.799774737213271 2.99979320210117 1.44347826086957 0.88695652173913 3.00589788678263 1.44347111965167 0.883254997421099 28.5170119642312 28.9045978792669 31.2156533250225 72.7200000000012 122.720000000001 58.0199999999968 -84.8100000000002 2006 0.0594405594405588 0.0294705294707176 0.042457542457542
-162.083158701198 -240.094677457441 -258.891220818867 -321.909125018979 -168.574380077586 -256.517444497841 -314.306625915056 -416.092626342428 -152.066238397929 -238.419626400971 -295.903233867999 -354.501130040053 -170.245578647532 -272.798617175849 -324.490373276103 -394.025053207534 -182.735499580788 -298.664355790514 -397.634553430329 -518.550586385078 -199.213141159487 -287.513741940442 -308.583723393881 -346.82508683021 -161.403844116383 -247.998186404129 -280.387955341394 -300.60207873527 -154.089832947552 -223.440926485265 -276.070295922672 -299.033493854337 -165.494646874594 -231.512402613296 -247.43721912592 -292.441680409866 3.08810383946844 1.44072026966934 0.79780078728625 2.97681785439025 1.4393063583815 0.878612716763006 2.98065338534449 1.43935932708609 0.873405554474044 28.2396094964089 28.6895691645094 31.0412602514809 69.8700000000026 132.660000000003 70.6299999999974 45.0999999999996 2006 0.0344655344655339 0.0374625374626592 0.0644355644355641
-147.126647514969 -232.171227766652 -276.49779884894 -286.816896956791 -154.186233912237 -254.141829038241 -281.684159489232 -338.356430491691 -164.57071598711 -234.248201918712 -292.112496606612 -327.698352876344 -158.317761341406 -278.52327593621 -330.470356691494 -442.282448511391 -182.342336689087 -283.790157907204 -335.868044262429 -439.982778124882 -159.74029470209 -303.898724975704 -335.661816341122 -389.008038444348 -145.010645725278 -233.988760399604 -281.823943812114 -394.326345390316 -156.38847282206 -230.097362627105 -246.586856702987 -298.534260001813 -153.882041074294 -240.755014352615 -264.765244332985 -338.933936478601 3.10371955040108 1.44284327938059 0.8043219404095 3.01093776337312 1.44550561797753 0.891011235955056 3.01571125191652 1.44544843488079 0.887244018815963 28.6419881937311 28.9471860232771 31.4418021204263 70.8600000000006 121.690000000002 68.2300000000032 -23.0199999999999 2006 0.0514485514485521 0.0214785214784518 0.0434565434565446
