"g_ML0.05" "g_ML0.01" "g_ML0.005" "g_ML0.001" "g_tau0.05" "g_tau0.01" "g_tau0.005" "g_tau0.001" "g_new0.05" "g_new0.01" "g_new0.005" "g_new0.001" "c_ML0.05" "c_ML0.01" "c_ML0.005" "c_ML0.001" "c_tau0.05" "c_tau0.01" "c_tau0.005" "c_tau0.001" "c_new0.05" "c_new0.01" "c_new0.005" "c_new0.001" "f_ML0.05" "f_ML0.01" "f_ML0.005" "f_ML0.001" "f_tau0.05" "f_tau0.01" "f_tau0.005" "f_tau0.001" "f_new0.05" "f_new0.01" "f_new0.005" "f_new0.001" "theta.F.ML" "theta.G.ML" "theta.C.ML" "theta.F.tau" "theta.G.tau" "theta.C.tau" "theta.F.new" "theta.G.new" "theta.C.new" "loglik.Fr" "loglik.Gu" "loglik.Cl" "time.Frank" "time.Gumbel" "time.Clayton" "L.real.left" "data.time.part" "p.F" "p.G" "p.C"
-1.60159287266628 -2.43582730741434 -3.03178799067576 -3.5896738978406 -1.61911746479621 -2.38306261970482 -3.04660458944193 -4.0194533661995 -1.58422278519711 -2.36973387603397 -2.7261907588811 -3.12343677172339 -1.89024870884272 -2.86971987563144 -3.24103746615689 -4.55038062748868 -1.79324437619615 -2.96506961490161 -3.33044715558905 -3.87488306708257 -1.78183739143805 -2.6970751457832 -3.14820389307795 -4.22245825348674 -1.72385847009411 -2.32645333860558 -2.89122906043438 -3.29801424340714 -1.61552576893815 -2.53938165326553 -2.81638043676656 -3.46901367109934 -1.84885223710359 -2.52656439431742 -2.72687745281128 -3.33891041614325 2.77604642067991 1.25350198071515 0.615543289761646 2.60559265200425 1.37336535895383 0.74673071790766 2.67566430616013 1.36683933086791 0.746140964234675 20.7093729390017 14.0839357277198 16.4839653939969 40.5599999999977 87.820000000007 37.570000000007 0.829999999999997 2006 0.411088911088911 0.054445554445554 0.00449550449550453
-1.79901866518161 -2.62594608839851 -2.91228750653444 -4.16111393218683 -2.03783609452979 -3.10949043498874 -3.45190018077698 -3.81452172893832 -1.91080965256082 -2.69228947022187 -3.06659480566566 -3.15785528664978 -2.16116267542068 -3.55927081383465 -3.68953329711778 -4.51005204915679 -2.30712690040272 -3.69577394104924 -4.00305134678625 -4.64000679277987 -2.13137806620911 -3.30816873536972 -3.79570099078341 -4.87963560518847 -2.03346582984279 -3.14971342037365 -3.63902094732725 -4.37232382453267 -1.85722977021865 -2.83082198119516 -3.20232487080433 -3.67657768232064 -1.92750631794482 -2.68391972577143 -2.87611933115576 -3.21481444889844 2.70847337766652 1.24544195173996 0.512685576169858 2.56912944859625 1.36704153015142 0.734083060302842 2.63546049974708 1.35920619268135 0.731981885378503 20.0675616514434 13.657293285328 12.8989029174942 39.3199999999779 89.3500000000058 38.3099999999977 -0.0300000000000062 2006 0.476023976023977 0.0644355644355644 0.0094905094905096
-1.6870362210144 -2.54087256120815 -2.78676790191101 -3.40659901410474 -2.04208771763521 -2.79734795959978 -3.14652595207332 -3.87373368990798 -1.88287725037883 -2.77653633118788 -3.03769570346309 -3.3630228220106 -2.31605386518844 -3.54523236200436 -3.83575764038199 -4.29663401129121 -2.05793982837851 -3.16800894711143 -3.36010628382038 -3.93944187068254 -2.08063295580342 -3.04567143700509 -3.3381076076947 -3.67726337922629 -1.80629095718769 -2.47003489722527 -2.8041342317901 -3.33719384947997 -2.02280204922458 -2.78792537833141 -3.04496132790165 -3.54497689628038 -1.93408358719098 -2.73256733397645 -3.21729709516487 -3.54278354378619 2.72401672484806 1.24721790904671 0.515186126614672 2.56912944859625 1.36704153015142 0.734083060302842 2.64827514470295 1.36087677841626 0.732224295131664 20.2784793706585 13.7536533774551 13.0677412575622 39.6199999999953 87.3699999999953 38.2699999999895 0.760000000000001 2006 0.510989010989011 0.0514485514485512 0.00849150849150879
-1.7215735114524 -2.77671206181889 -3.30468227303358 -3.70988965622681 -2.00843525277156 -2.83474134677914 -3.00162181195661 -3.73052170945276 -1.8799841916255 -2.9632990956148 -3.21167258838606 -4.10539474004544 -1.83213968416871 -3.04448089041739 -3.45306705524624 -4.82163381378872 -1.89897020465128 -3.34302018631809 -3.95607114555248 -4.52721345415087 -1.85892548400654 -3.0116797692356 -3.59950177409169 -5.0778273238453 -1.82996069355176 -2.5601502931203 -2.8247442821585 -3.07082552992917 -1.93667120206417 -2.86854133664322 -3.08558258799688 -4.28818393360968 -1.95109146179794 -2.94329480138643 -3.31503394226327 -3.76878062904237 2.74822508618426 1.24900421930916 0.517655192287961 2.59014455964826 1.37068276658084 0.74136553316168 2.66665806125335 1.36417946760079 0.739912868610552 20.5184796046195 13.8706202867365 13.1205746625308 40.0799999999872 87.0899999999965 38.3300000000163 0.949999999999999 2006 0.484015984015983 0.0534465534465544 0.00649350649350589
-1.70559245684193 -2.68316529677818 -3.00340538733224 -3.70493277872003 -1.75262801541544 -2.61196338383057 -3.27194673886388 -4.01804882685025 -1.77624932253534 -2.59699788588297 -3.17297024780417 -4.81178473087565 -1.79239358206348 -3.24847773558125 -3.60376240677753 -4.55664101171291 -1.91119909897174 -2.89420396184211 -3.17120368628946 -3.61333840028204 -1.88123093180351 -3.17531200800578 -3.59402334306658 -4.18869512502971 -1.83984281539279 -2.68103345039932 -2.90626789394487 -3.12743928705891 -1.85880145324072 -2.67867420616099 -2.8858241812522 -3.24113070563503 -1.73791731785233 -2.39888701608777 -2.59941119607433 -3.85863508657521 2.7695302472963 1.25114191163905 0.52056882880264 2.61051456696338 1.37422111447392 0.748442228947837 2.69939495971689 1.36936434273368 0.746507240035515 20.8227993254087 14.0179405398852 13.2503829309085 40.0599999999977 88.7200000000012 38.0599999999977 -0.0599999999999976 2006 0.55894105894106 0.0394605394605406 0.00849150849150827
-1.80024117795153 -2.61972467093314 -2.85199780733368 -3.42921741409062 -1.81122681856769 -2.47695691583993 -2.95140940330636 -3.19775989493569 -1.69433376813198 -2.51272835477691 -2.8343073120376 -3.32973002377798 -1.68987965331298 -2.67069414434458 -3.20607039022457 -4.3048024412362 -2.09739140090925 -3.35337372608153 -4.026074346322 -4.82653096476027 -1.9454185098879 -3.37894862196031 -3.67761937457261 -4.20179676908948 -1.84117864442154 -2.46614439955051 -2.7080926038716 -4.50256037902736 -1.88153657611577 -2.66911672588035 -2.81444335641254 -3.04016075620157 -1.8872946409006 -2.60405940584946 -2.91422217773734 -3.07930662196412 2.73734564173985 1.24735549542741 0.518819137135775 2.58874174525856 1.37043941411451 0.740878828229028 2.6737324852541 1.3647217295801 0.738993206476488 20.5801124027403 13.7804216343025 13.2698567283699 39.7200000000012 87.640000000014 38.1300000000047 -1.3 2006 0.571928071928074 0.0464535464535471 0.00849150849150864
-1.64190929505692 -2.44313480340086 -2.85491995258309 -3.78853874544125 -1.6699856562937 -2.47490474415729 -2.60762492904866 -3.19731218557048 -1.72091338144317 -2.29092520107407 -2.60842381778994 -3.16562390103758 -1.8647010896326 -2.92918947632598 -3.31863480731578 -3.64386688624098 -1.90183433204719 -2.97965900184014 -3.27519004103584 -4.00642391854676 -1.77518669202346 -2.96966057493413 -3.23407021054315 -4.17803642478312 -1.95653159903258 -2.67666119192388 -3.27056090675377 -3.66156048502285 -1.91286455456367 -2.74805808651256 -3.2255731783793 -3.48702490592549 -1.64135212503712 -2.668532807613 -2.99710767167881 -3.41493331533768 2.73392084507132 1.24784541997689 0.516127931262299 2.57542787240608 1.36813186813187 0.736263736263736 2.662274421364 1.36182313833353 0.733954619428057 20.4097051223857 13.7975079055015 13.0968087906421 40.6700000000128 88.1199999999953 38.9100000000035 -0.239999999999999 2006 0.54795204795205 0.0524475524475526 0.0104895104895102
-1.68377697979231 -2.32862958391468 -2.58981598346838 -3.32129272093067 -1.92530620536932 -2.53498028028833 -3.00583342463021 -3.26989646719686 -1.88949948971883 -2.75258550135732 -3.01923481242092 -3.66967854793607 -1.87329801846176 -3.00127563855343 -3.41191461223181 -4.11200078160959 -1.9826555800182 -3.19126892169809 -3.53387747524461 -4.32331468661657 -1.84042480210916 -3.2419770192197 -3.84225660602217 -4.47736839574155 -1.89166224560165 -2.71057455310915 -3.10454163935088 -3.56553700634906 -1.9180301191654 -2.66129450733696 -2.91009852301895 -3.32126947809041 -1.88501734859875 -2.63923805181642 -2.94619258085255 -3.43379462915368 2.74607188575252 1.24949872545093 0.520025750114734 2.60699858669774 1.37360975175727 0.747219503514547 2.68903932904724 1.36536461364601 0.745290285828335 20.7093871291141 13.9816214596817 13.2746784380987 40.1699999999837 88.4300000000221 37.8999999999942 -0.470000000000006 2006 0.589910089910088 0.0664335664335665 0.00849150849150865
-1.59226107338523 -2.25921727191256 -2.48720232346526 -2.80209764971151 -1.64252579616291 -2.48727877673496 -3.10698195924893 -3.68865561320599 -1.76970532633081 -2.77809998915169 -3.31479325743692 -3.55698953277323 -1.87620096175465 -2.9011654045677 -3.19143923215004 -3.52168957370254 -1.90972120830634 -3.08996376720541 -3.58825546248201 -3.95014264269139 -1.86063825365749 -2.78547889328956 -3.41035729063133 -5.21632787433055 -1.82898169989436 -2.48614532100915 -2.7124641801115 -3.01515204462757 -1.7362242930245 -2.52191010153061 -2.6482081790079 -3.08095974257193 -1.88517320604058 -2.87489481029355 -3.00350783114718 -3.25906694173527 2.71958608394383 1.24825384217763 0.513384906596629 2.57962974919757 1.36885972690193 0.737719453803866 2.64820975138842 1.35759434206505 0.735366294217776 20.302983752974 13.8951516453373 12.9759940681025 39.4400000000023 86.9100000000035 37.8500000000058 -0.0600000000000012 2006 0.490009990009989 0.0934065934065935 0.0104895104895107
-1.66211482276678 -2.27378177789912 -2.57320102598693 -3.17931267860935 -1.76579206672372 -2.55727594048564 -2.88033235156626 -3.27550077883016 -1.65165968670579 -2.67498084211721 -3.41298078913772 -4.14083920236518 -1.88285995923156 -2.87388083431667 -3.15069055966637 -4.34383583862209 -1.88252830398827 -2.71660895390407 -2.93678367992622 -3.46626603686982 -1.60782662705703 -2.42936685856462 -2.77746382499494 -3.81028344577379 -1.64474331042649 -2.3051305368705 -2.64885059043076 -2.98109069106429 -1.61660209068667 -2.66593462578224 -2.84826601060957 -3.5016438220945 -1.52961778519699 -2.31508624238979 -2.80175533316669 -3.17745252523551 2.71951649614147 1.24852725925501 0.513041838573105 2.58033028642186 1.36898111199787 0.737962223995744 2.64436150477938 1.35833159554658 0.737175789081678 20.3549038380051 13.9352676084306 12.9471114732869 40.2799999999988 86.5099999999802 38.789999999979 0.109999999999997 2006 0.46003996003996 0.0884115884115884 0.00349650349650344
